idx,label,sentence
420,0,",@ficklampa isn't msn in this case a lot easier? hahaha!"
421,0,",""@thisworkinglife ideally, i wanted them to join twitter &amp; ohs community in the training room """
422,1,",""@ravenvol i'd blame twitter on that one. it isn't greatly helpful with its tips sometimes. anyway,"
423,1,",""having a really productive day in the sweatshop, but missed out on the sunshine """
424,0,",hahahahahaha lakers baby!!!! big ups to all the haters!!! im tooooo geeked!!!"
425,0,",ugghh that nap was the worst thing i couldve done!"
426,1,",""rut roh, grandpa ron got a speeding penalty. """
427,0,",@jason_a_w errr...by q'ble...i meant questionable. not quotable. you're very quotable. damned twtr a"
428,1,",just woke up. it's soo cold outside  i wanna go back to sleep"
429,1,",hula formal grey fabric left hand corner 5 seat sofa storage footstool rrp â£1479"
430,0,",""bought myself a new top, new pair of shoes and new pj's...why do i always feel so bad spending $ on"
431,0,",at work and can't watch #e3 conference!"
432,1,",""just had his ultrasound taken, waiting for results is so agonizing!  hoping for the best!"""
433,1,",the chance of getting into the same middleschool as my old friends in usa is very slim. im really st"
434,0,",hey @x17online we got really loud screaming guy on the right   (x17live live &gt;"
435,0,",""@emanazrin right?! the academy is, okay only lah, for me. but anberlin, woot woot! how's the nasi l"
436,1,",@parishilton_fan ahaha really? little bitch! you better start thinking up a name for me  or you'll b"
437,1,",@winenfriends that works in bentonville too  enjoy!"
438,0,",doing the same goddamn stupid thing that cyan did with uru: playing favorites with nyte... like he's"
439,0,",so cold. d: drinking tea.  headache. d: new shoes."
440,0,",so tired. going 2sleep early. so happy tommorow's friday. hopefully an easy day. 10 days left! @kays"
441,1,", @rt_or_fav11: ð« character appreciation tweet: sameen shaw ð«#personofinterest"
442,1,",""@michellezen i knew that, jus givin u a hard time hehe """
443,1,",mail from yesterday slid under my door - $10 gift certificate for bookmans! yippie! got it for not d"
444,0,",""huge 75+ pc lot monster high dolls, accessories, carry case, sketch portfolio  """
445,0,",it's really humid and hot here"
446,0,",""@ishamay i mean tomorrow. ) haha.. kay. ohh, wait.. i have to do something.. i think i'll be back i"
447,1,","" @themfanyikazi: @adelleo @shaffieweru #teamshaffie  #votejuliusyegosoma on  or through sms, send 2"
448,1,",forgets how much i miss ricky sometimessss"
449,1,",""@ana2008 hello my little ever ready bunny, i was busy yesterday, how are you today """
450,0,",it would seem the answer is no  i cannot claim my twitter feed with technorati"
451,0,",@lindsaylou21 i love you more!  thank you for the hug"
452,1,",""@hanaames but he was funny, intelligent, handsome. i must be gay, surely. but then i just wish he'd"
453,1,",""@tommcfly i wanted you to be all mine too.  just kidding! lol, where's harry? i wanted him to be al"
454,0,", #shoes cat watershed waterproof men's boots - black - all colors - all sizes"
455,1,",i cannot understand my 2 year old  she needs/wants something + i don't know what it is. she's crying"
456,1,",obert parry | the nyt's neocon 'downward spiral'"
457,0,",just had a generator connection application taken off me after a year of work - was due to be finish"
458,1,",""plumbing museum program supports art, industry in watertown  via  """
459,0,",""finished church 4 the day - now for more studying, first exam tomorrow """
460,0,",@fairysarie  - very clever  love it!"
461,1,",after xx's blog entry i think i might get a bb as well!"
462,1,",awww poor little girl on britains got talent"
463,0,",@littlemissnat check out nars as well. but nails inc have some yummy colours"
464,0,",ð¸ dan has the warm up underway at mansfield."
465,1,",i'm reading ashleigh's poem in the class mag.  ashleigh is my very good friend. i hate the magazine"
466,1,",""october 2, 1982:accept released their restless and wild album. """
467,0,adaripp um ya so i basically didnt even rotate it haha  owell next time haha
468,0,priceless-best enjoyed with your best friend
469,1,"""tried her first ever glass of almond milk, wasn't bad, not my favourite, but will drink it again."
470,1,"""just a pity i dont have a data plan, that cost nearly 1 euro """
471,0,",@nostreetrader it was 22 hours ago.. cant really remember my original post  sorry.. $$"
472,0,",c9965 tiger eye &amp; 925 silver overlay ring us 7.5 gemstone jewelry"
473,0,",my first tweet via blackberry curve!"
474,1,",i love how #twitpic isn't letting me login."
475,1,",@moose80210   sweet !  that's what im talking bout ~ so glad he is back ! happy 420 !"
476,0,",carting a wheel barrel full of sand/gravel from the garage to backyard is tiring... and it's warm to"
477,0,",""is home again, after a week away """
478,0,",@lordjamar ur not a stereotype! it's good. i don't like watermelon or chicken."
479,1,",star wars prop darth vader leather body suit tailored size 3 pcs  #starwars"
480,1,",@kevjumba i can feel your pain i went to texas and left with 15 on my arms and legs..the one on my w"
481,0,",@cutestmidget yeah it must be a b'vais special  because b'vais is very special!"
482,1,",@30secondstomars have a good luck guys  that cd going to be awsome :]"
483,1,",""@mcgrewsecurity hehe, handy fact to know! """
484,1,",#travel #photography #photooftheday #travelphotography : arches of patagonia by anatolyberman"
485,0,",@tommcfly hi tom  do you know that song  would i lie to you of charles &amp; eddie ? and did you lov"
486,0,",@natvf just realised... we should go paintball-ing sometime soon!  (after exams ofc! -mine end in 3"
487,0,",nutanix: advanced vm placement intelligence: allows your vms to focus on running workloads"
488,1,",normallyð­â¤i'm voting @fifthharmony for collaboration of the year at the #amas"
489,1,",: larrykim: 5 competitive advertising strategies to outsmart your competition  ðð"
490,1,",why won't safari 4 open pdfs in the browser?"
491,0,",""oh btw, i am soo happy i that i got to see the awesome animal in my icon while in ca!  i shall post"
492,1,",""@denise_richards how was it last night?  have a nice day and take a kiss from me. love's you, your"
493,1,",watching little miss sunshine..i need sunshine"
494,0,",@modeltypestatus haha guess we just have to see"
495,1,",""miss my amy &amp; scooty is crying  in west palm beach, fl """
496,0,",@slackadjusterr i love that song too. creed's pretty awesome..sometimes"
497,1,",@andysimcox puppy rescued after being flushed down toilet. always wondered what had happened to our"
498,1,",@sharonrocks96 but there are many issues goin' on abt them"
499,1,",trying to finish this english.. only 20 lessons to go! then i'm good until i get back.  if it works"
500,0,",breaking: barack obama speaks about fox newsâ âgoing to pay a priceâ"
501,1,",i assuming you got an iphone or ipod touch? its the best twitter app everrr! you'll never look back"
502,0,",""@handymantrainer actually because of the several updates you have daily, i find them all interestin"
503,10,",""@monicks dance group called diversity monica, and they defo deserved it! mesmerising self choreogra"
504,1,",@likcease nothing much...aleays on twitter late lol what about you love..what you doing up late? lol"
505,0,",listening to @chriscornell &quot;scream&quot;! love it. you really need to get it. go get up and go"
506,1,",i've decided i'm going to start watching whale wars. what a sweet looking show"
507,0,",""swimming with dolphins- check, and awesome! brad majors crotch in face- also check, and considerabl"
508,1,",@cellunlocknet ahh yes i dont see you connected with us"
509,1,",""@joyarogers i remember the same thing about you, lol, just being so silly tonight sorry """
510,0,",""- @slashhudson you tease, i wanna hear the tracks!! """
511,1,", @osquieroatodas: ???? hundreds of free camgirls  ????â¤ï¸ make huge money on cam as model"
512,1,",@tizer45 she looks a bit dead until you open it up."
513,0,",""@kay_mo nice and tender, nice and tender """
514,0,",had a good day all up.. even though i crashd ma car. thanks everyone for sticking round. ur all grea"
515,1,",harley late 1983 shovelhead big twin piston rings +.060 over size"
516,0,",@imcudi so how was the movie?"
517,1,",""i need a new twitter app, this one doesnt alert me when i get a reply """
518,0,",@johna404 just working on my first cup so far"
519,0,",@amarie2209 you dont respond to me"
520,1,",â¨â????????defeat the ghost for me! ???? ????dj apollo????â????????g:"
521,0,",i was outside for like 45 minutes and i am burnt. and i missed half of the songs remembering sunday"
522,0,",@marteyo just find amusement in it  thats what i always do. haha."
523,0,",ix  new orleans saints @ atlanta #falcons- januaryâ  #tickets #nfl"
524,1,",""archatlas:93 reade st. renovation in nyc 93 reade st. is a 10,000 square foot loft renovation and p"
525,0,",""it has been 24 hours now, since i had my dog put to sleep.  rip my old friend. """
526,0,",@media_molecule thanks for the greatest game ever"
527,0,",i'm soo tired &amp; my foot hurts  i love bsb!!"
528,1,",i know this is going to sound lame but can i follow myself? why is that even an option?...hope this"
529,0,",""@pink hope you show goes great tonight, can't believe i'm missing it! """
530,1,",""@jonasbrothers  - i really wanted to watch, but couldn't i had sats today! i saw natm2 last night t"
531,0,",""in the betahaus cafã, drinking a latte. happy to hear some dutch around. """
532,1,",""@jameslocke230 if u have sky telly, but don't have sky sports, u can see highlights on s4c at 9:45p"
533,0,",now playing: `senza mamma by puccini -  - buy it"
534,0,",just used my last free frappe coupon    they are so tasty and getting them for free was awesome!"
535,0,",really freaking out today. dont know why  and really wish i wasn't. why does the real world have to"
536,1,"cantanta yeah, i cried a lot too. it was horrible, but still amazing! """
537,1,",i can't believe i have to wait for friday!"
538,0,",has a flat tire again!...not happy  d.h."
539,1,",deals :  #26632 #0353 silver fleur de lis crown w/ loop genuine black braided leather braceâ"
540,0,",@therealmrriley t'aww js fink of the mint new material on ur myspace its amazin!  xx"
541,0,",for booking call us now +971553327094 visit us"
542,1,",i can't    only complaint w/ nambu so far."
543,0,",""@mattkelland meh, she's ok imo, but nothing special. like you, that's the first thing i've heard he"
544,0,",""im a hypochondriach, every not so little thing makes me positive im dead.  i really am much more po"
545,1,",hey tweeters good night and god bless you  @robkardashian hope u sleep well in ur new room handsome"
546,1,",""@guitardragon well, aren't you having a lovely time! """
547,0,",@a_n_g_e_l_i_n_e just overworked but thanks.  and i love when episodes repeat overseas.  bring on th"
548,0,",caramel macchiato to pep me up. i hate it when the sun shines but the wind is freezing"
549,1,",@ashtonteal that's so sad...shes from back home"
550,0,",i've mayo blood so the flag is flying high in the kingdom. #mayoforsam"
551,10,10 of the oldest cities in the world
